Account Name,Parent Account,Account Number,Is Group,Account Type,Root Type
EOS,Non-current Liabilities,2020100,1,Payable,Liability
EOS,EOS,2020101,0,Payable,Liability
Equity - B,,3000000,1,,Equity
Capital,Equity - B,3010100,1,Equity,Equity
Capital - Rakan,Capital,3010101,0,Equity,Equity
Capital - Saleh,Capital,3010102,0,Equity,Equity
Owner Current Account,Equity - B,3020100,1,Equity,Equity
Owners' Current Accounts - Rakan,Owner Current Account,3020101,0,Equity,Equity
Retained Earnings ,Equity - B,3030100,1,Equity,Equity
Retained Earnings ,Retained Earnings ,3030101,0,Equity,Equity
Income - B,,4000000,1,,Income
Direct Income,Income - B,4010000,1,Income Account,Income
Sales,Direct Income,4010100,1,Income Account,Income
Revenue - Construction,Sales,4010101,0,Income Account,Income
Revenue - Branderaa,Sales,4010102,0,Income Account,Income
Revenue - Se7rek,Sales,4010103,0,Income Account,Income
Indirect Income,Income - B,4020000,0,Income Account,Income
Expenses - B,,5000000,1,,Expense
Direct Cost,Expenses - B,5010000,1,Cost of Goods Sold,Expense
 Stock Expenses ,Direct Cost,5010100,1,Cost of Goods Sold,Expense
Cost of Goods Sold, Stock Expenses ,5010101,0,Cost of Goods Sold,Expense
 Delivery and Packing,Direct Cost,5010200,0,Cost of Goods Sold,Expense
Delivery Cost, Delivery and Packing,5010201,0,Cost of Goods Sold,Expense
Packing Cost, Delivery and Packing,5010202,0,Cost of Goods Sold,Expense
Manpower Cost,Direct Cost,5010300,0,Cost of Goods Sold,Expense
Salaries & Wages,Manpower Cost,5010301,0,Cost of Goods Sold,Expense
Subcontractors expenses,Direct Cost,5010400,0,Cost of Goods Sold,Expense
Subcontractors expenses,Subcontractors expenses,5010401,0,Cost of Goods Sold,Expense
Selling Expenses,Expenses - B,5020000,1,,Expense
Marketing Exp,Selling Expenses,5020100,1,Expense Account,Expense
Marketing Exp,Marketing Exp,5020101,0,Expense Account,Expense
Commission Exp,Selling Expenses,5020200,0,Expense Account,Expense
Commission Exp,Commission Exp,5020201,0,Expense Account,Expense
General and Adminstration ,Expenses - B,5030000,1,,Expense
Manpower Cost,General and Adminstration ,5030100,1,Expense Account,Expense
Basic Salary,Manpower Cost,5030101,0,Expense Account,Expense
GOSI,Manpower Cost,5030102,0,Expense Account,Expense
EOS EXP,Manpower Cost,5030103,0,Expense Account,Expense
Medical Insurance,Manpower Cost,5030104,0,Expense Account,Expense
IQ & Work Permit,Manpower Cost,5030105,0,Expense Account,Expense
Management Fees,Manpower Cost,5030106,0,Expense Account,Expense
Rent,General and Adminstration ,5030200,1,Expense Account,Expense
Rent Car,Rent,5030201,0,Expense Account,Expense
Rent Office,Rent,5030202,0,Expense Account,Expense
Depreciation,General and Adminstration ,5030300,1,Depreciation,Expense
Depreciation-Lease,Depreciation,5030301,0,Depreciation,Expense
Depreciation-Furniture,Depreciation,5030302,0,Depreciation,Expense
Utilities and energy,General and Adminstration ,5030400,1,Expense Account,Expense
Communication,Utilities and energy,5030401,0,Expense Account,Expense
Electricity & Water,Utilities and energy,5030402,0,Expense Account,Expense
Post,Utilities and energy,5030403,0,Expense Account,Expense
Miscellaneous expenses,General and Adminstration ,5030500,1,Expense Account,Expense
Hospitality,Miscellaneous expenses,5030501,0,Expense Account,Expense
Business trip,Miscellaneous expenses,5030502,0,Expense Account,Expense
Licenses and Subscriptions,Miscellaneous expenses,5030503,0,Expense Account,Expense
Stationery,Miscellaneous expenses,5030504,0,Expense Account,Expense
Licenses and Subscriptions,Miscellaneous expenses,5030505,0,Expense Account,Expense
Maintenance,Miscellaneous expenses,5030506,0,Expense Account,Expense
Consumable tools,Miscellaneous expenses,5030507,0,Expense Account,Expense
Penalty Exp,Miscellaneous expenses,5030508,0,Expense Account,Expense
Bank Fees,Miscellaneous expenses,5030509,0,Expense Account,Expense
Cleaning expenses,Miscellaneous expenses,5030510,0,Expense Account,Expense
Initial cost,Miscellaneous expenses,5030511,0,Expense Account,Expense
Direct Expenses ,Expenses - B,5040000,1,Cost of Goods Sold,Expense
Stock Expenses ,Direct Expenses ,5040100,1,Cost of Goods Sold,Expense
 Stock Adjustment,Stock Expenses ,5040101,0,Cost of Goods Sold,
