Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-14,1010303,Dijon,1010303 - Dijon - B,0,22000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,22000,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-15,1010101,Cash Box,1010101 - Cash Box - B,0,22000,Main - B,,
,,,,1010303,Dijon,1010303 - Dijon - B,22000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-19,1010102,Petty Cash,1010102 - Petty Cash - B,37.5,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,37.5,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-23,1010102,Petty Cash,1010102 - Petty Cash - B,150,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,150,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-27,1010102,Petty Cash,1010102 - Petty Cash - B,937.61,0,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,937.61,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-31,1010101,Cash Box,1010101 - Cash Box - B,22000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,22000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,224,0,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,224,Main - B,Customer,Guest
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,2808.33,0,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0,2808.33,Main - B,Customer,Guest
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,4200,0,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0,4200,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,11500,0,Main - B,,
,,,,2010201,Accrued Salaries & Wages,2010201 - Accrued Salaries & Wages - B,7000,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,8000,Main - B,Customer,Guest
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,3000,Main - B,Customer,Guest
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,6000,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,1500,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,7000,0,Main - B,Customer,Guest
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,7000,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1312.5,0,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,1312.5,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-02,1010102,Petty Cash,1010102 - Petty Cash - B,184.46,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,184.46,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-27,1010102,Petty Cash,1010102 - Petty Cash - B,125,0,Main - B,,
,,,,5030403,Post,5030403 - Post - B,0,125,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-28,1010102,Petty Cash,1010102 - Petty Cash - B,288,0,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,288,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,60,0,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0,60,Main - B,Customer,Guest
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,2808.33,0,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0,2808.33,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1275,0,Main - B,,
,,,,5030504,Stationery,5030504 - Stationery - B,0,1275,Main - B,,
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,4200,0,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0,4200,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,12000,0,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,1500,Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,6000,Main - B,Customer,Guest
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,3000,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,1500,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,7000,0,Main - B,,
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,7000,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,257.93,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,257.93,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,7000,0,Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,7000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,450,0,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0,450,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1000,0,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0,1000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-01,1010303,Dijon,1010303 - Dijon - B,0,22000,Main - B,Customer,Guest
,,,,2010103,Branderaa,2010103 - Branderaa - B,3920,0,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,22000,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,3920,Main - B,Customer,Guest
,,,,1010304,Al-Masah,1010304 - Al-Masah - B,0,300,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,300,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-05,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,22000,Main - B,Customer,Guest
,,,,1010303,Dijon,1010303 - Dijon - B,22000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-06,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,300,Main - B,Customer,Guest
,,,,1010304,Al-Masah,1010304 - Al-Masah - B,300,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,22000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,22000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-08,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,300,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,300,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,75,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,75,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-14,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,31500,Main - B,,
,,,,1010308,Al-Mazra3a,1010308 - Al-Mazra3a - B,31500,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,5007,0,Main - B,,
,,,,2010201,Accrued Salaries & Wages,2010201 - Accrued Salaries & Wages - B,0,5000,Main - B,Customer,Guest
,,,,5030509,Bank Fees,5030509 - Bank Fees - B,0,7,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,16450,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,16450,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,120,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,120,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-15,1010308,Al-Mazra3a,1010308 - Al-Mazra3a - B,0,45000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,45000,0,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,10000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,10000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-19,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,27000,Main - B,,
,,,,2010501,Due to Related Paries - Ahmed Metwally,2010501 - Due to Related Paries - Ahmed Metwally - B,27000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-22,1010102,Petty Cash,1010102 - Petty Cash - B,37.5,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,37.5,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,54.56,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,54.56,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-23,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,2000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,2000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-25,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,3000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,3000,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,12000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,12000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-26,1010303,Dijon,1010303 - Dijon - B,0,10000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,10000,0,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,12000,Main - B,,
,,,,1010303,Dijon,1010303 - Dijon - B,10000,0,Main - B,Customer,Guest
,,,,1010303,Dijon,1010303 - Dijon - B,2000,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,5000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,5000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-29,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,4500,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,4500,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-30,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,10000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,10000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-31,1010102,Petty Cash,1010102 - Petty Cash - B,84,0,Main - B,Customer,Guest
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,84,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,4109,0,Main - B,,
,,,,5030504,Stationery,5030504 - Stationery - B,0,4109,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,13000,0,Main - B,,
,,,,1020102,Office Furniture & Fixtures,1020102 - Office Furniture & Fixtures - B,0,13000,Main - B,Customer,Guest
,,,,1020202,Accumulated Depreciation - Office Furniture & Fixtures,1020202 - Accumulated Depreciation - Office Furniture & Fixtures - B,1083.33,0,Main - B,Customer,Guest
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,2808.33,0,Main - B,Customer,Guest
,,,,5030302,Depreciation-Furniture,5030302 - Depreciation-Furniture - B,0,1083.33,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0,2808.33,Main - B,,
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,4200,0,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0,4200,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,10500,0,Main - B,,
,,,,5030101,Basic Salary,5030101 - Basic Salary - B,0,6000,Main - B,Customer,Guest
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,3000,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,1500,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,141.75,0,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,141.75,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1322.7,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,1322.7,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,288.75,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,288.75,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,990,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,990,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,161.25,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,161.25,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,3700,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,3700,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-01,2010103,Branderaa,2010103 - Branderaa - B,10800,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,10800,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-02,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,15000,Main - B,,
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,15000,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,2000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,2000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-04,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,1500,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,1500,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-05,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,1000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,1000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-06,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,1000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,1000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-08,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,2045,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,2045,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-09,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,10000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,10000,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,547.5,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,547.5,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,3420,0,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,3420,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-25,1010303,Dijon,1010303 - Dijon - B,0,22000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,22000,0,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,20000,Main - B,,
,,,,1010303,Dijon,1010303 - Dijon - B,20000,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,20000,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,20000,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-27,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,27000,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,27000,0,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,27000,0,Main - B,,
,,,,2010501,Due to Related Paries - Ahmed Metwally,2010501 - Due to Related Paries - Ahmed Metwally - B,0,27000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,24000,Main - B,,
,,,,2010501,Due to Related Paries - Ahmed Metwally,2010501 - Due to Related Paries - Ahmed Metwally - B,24000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-04-30,1010102,Petty Cash,1010102 - Petty Cash - B,325,0,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,325,Main - B,Customer,Guest
,,,,1020202,Accumulated Depreciation - Office Furniture & Fixtures,1020202 - Accumulated Depreciation - Office Furniture & Fixtures - B,1083.33,0,Main - B,,
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,2808.33,0,Main - B,,
,,,,5030302,Depreciation-Furniture,5030302 - Depreciation-Furniture - B,0,1083.33,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0,2808.33,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,500,0,Main - B,,
,,,,5030510,Cleaning expenses,5030510 - Cleaning expenses - B,0,500,Main - B,,
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,4200,0,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0,4200,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,13500,0,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,3000,Main - B,Customer,Guest
,,,,5030101,Basic Salary,5030101 - Basic Salary - B,0,6000,Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,3000,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,1500,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,8500,0,Main - B,,
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,8500,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,400,0,Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,400,Main - B,Customer,Guest
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,0,15000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,15000,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-01,1010312,Red Door,1010312 - Red Door - B,0,7250,Main - B,Customer,Guest
,,,,2010103,Branderaa,2010103 - Branderaa - B,10900,0,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,7250,0,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,10900,Main - B,,
,,,,1010311,Mawakeb Al-Amjad,1010311 - Mawakeb Al-Amjad - B,0,15000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,15000,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-08,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,15000,Main - B,,
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,15000,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,15000,0,Main - B,,
,,,,2010501,Due to Related Paries - Ahmed Metwally,2010501 - Due to Related Paries - Ahmed Metwally - B,0,15000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-16,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,7250,Main - B,,
,,,,1010312,Red Door,1010312 - Red Door - B,7250,0,Main - B,Customer,Guest
,,,,1010101,Cash Box,1010101 - Cash Box - B,0,13500,Main - B,,
,,,,1010308,Al-Mazra3a,1010308 - Al-Mazra3a - B,13500,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,7250,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1750,0,Main - B,,
,,,,2010501,Due to Related Paries - Ahmed Metwally,2010501 - Due to Related Paries - Ahmed Metwally - B,0,9000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-20,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,0,22500,Main - B,Customer,Guest
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,0,1575,Main - B,Customer,Guest
,,,,2010101,Kadour trading Est.,2010101 - Kadour trading Est. - B,24075,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-28,1010101,Cash Box,1010101 - Cash Box - B,0,15000,Main - B,,
,,,,1010311,Mawakeb Al-Amjad,1010311 - Mawakeb Al-Amjad - B,15000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-05-31,1010101,Cash Box,1010101 - Cash Box - B,28500,0,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,28500,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,5450,0,Main - B,,
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,3500,Main - B,,
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0,1950,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,94,0,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,94,Main - B,,
,,,,1020202,Accumulated Depreciation - Office Furniture & Fixtures,1020202 - Accumulated Depreciation - Office Furniture & Fixtures - B,1083.33,0,Main - B,,
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,2808.33,0,Main - B,,
,,,,5030302,Depreciation-Furniture,5030302 - Depreciation-Furniture - B,0,1083.33,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0,2808.33,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,80,0,Main - B,,
,,,,5030506,Maintenance,5030506 - Maintenance - B,0,80,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,80,0,Main - B,,
,,,,5030504,Stationery,5030504 - Stationery - B,0,80,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,500,0,Main - B,,
,,,,5030510,Cleaning expenses,5030510 - Cleaning expenses - B,0,500,Main - B,,
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,4200,0,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0,4200,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,9000,0,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,3000,Main - B,Customer,Guest
,,,,5030101,Basic Salary,5030101 - Basic Salary - B,0,6000,Main - B,,
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,0,15000,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,15000,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-06-01,2010103,Branderaa,2010103 - Branderaa - B,7400,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,7400,Main - B,,
,,,,1010310,Comprehensive preventive maintenance,1010310 - Comprehensive preventive maintenance - B,0,3500,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,3500,0,Main - B,,
